empresa,iban,producto,importe,fecha_contrato,activa
Beta S.L.,ES00497896761200192742,seguro,30856.39,2025-05-03,1
Alpha S.L.,ES94978764468019207724,seguro,42641.05,2023-11-23,1
Alpha S.L.,ES54810500291978617502,hipoteca,9606.8,2025-11-01,1
Alpha S.L.,ES57101003677302794650,seguro,30022.99,2024-04-14,1
Beta S.L.,ES00878697889340865875,seguro,39831.41,2024-07-14,1
Omega S.L.,ES15178409946895012238,leasing,47874.44,2023-02-02,1
Alpha S.L.,ES08780903450509488685,seguro,37653.23,2023-05-20,1
Alpha S.L.,ES00450991613683386879,seguro,5433.65,2025-06-24,1
Beta S.L.,ES75733517534238447051,seguro,49096.77,2025-08-18,1
Gamma S.L.,ES83907303936446457796,leasing,13390.24,2022-05-27,1
